interaction_id,interaction_date,rep_id,hcp_npi,account_id,territory,product_name,channel,detail_topic,call_outcome,duration_min,sample_qty,consent_status
CRM0000036,2024-07-15,REP003,9000000610,ACC002,T03,Roventra,Remote,Dose and administration,Neutral,10,0,Allowed
CRM0000037,2024-11-26,REP003,9000000610,ACC002,T03,Vexpro,Sample Drop,Prior authorization support,No Reach,45,2,Opt-out
CRM0000038,2024-03-22,REP004,9000000061,ACC003,T04,Roventra,Phone,Clinical data - REMS requirements,Positive,20,0,Allowed
CRM0000039,2024-03-24,REP004,9000000061,ACC003,T04,Roventra,Sample Drop,Clinical data - REMS requirements,Neutral,15,0,Allowed
CRM0000040,2025-01-17,REP004,9000000061,ACC003,T04,Roventra,Face to Face,Competitive differentiation,Positive,15,0,Allowed
CRM0000041,2024-12-15,REP004,9000000061,ACC003,T04,Roventra,Remote,Patient identification,Follow-up,30,0,Allowed
CRM0000042,2024-03-04,REP004,9000000061,ACC003,T04,Roventra,Face to Face,Clinical data - efficacy,Positive,20,0,Allowed
CRM0000043,2024-01-07,REP004,9000000061,ACC003,T04,Vexpro,Phone,Prior authorization support,Positive,10,0,Allowed
CRM0000044,2024-04-07,REP004,9000000137,ACC003,T04,Roventra,Phone,Coverage and reimbursement,Positive,15,0,Allowed
CRM0000045,2024-02-29,REP004,9000000137,ACC003,T04,Roventra,Sample Drop,Prior authorization support,Neutral,30,0,Opt-out
CRM0000046,2024-10-14,REP004,9000000137,ACC003,T04,Roventra,Remote,Adherence program enrollment,Positive,5,0,Allowed
CRM0000047,2024-06-11,REP004,9000000237,ACC003,T04,Nexoral,Sample Drop,Referral workflow and SP onboarding,Abandoned,10,0,Opt-out
CRM0000048,2024-03-21,REP004,9000000237,ACC003,T04,Vexpro,Sample Drop,Safety and tolerability,Follow-up,15,0,Opt-out
CRM0000049,2024-11-06,REP004,9000000237,ACC003,T04,Nexoral,Remote,Prior authorization support,Follow-up,30,0,Allowed
CRM0000050,2024-01-09,REP004,9000000237,ACC003,T04,Roventra,Phone,Coverage and reimbursement,No Reach,45,0,Opt-out
CRM0000051,2024-06-11,REP004,9000000237,ACC003,T04,Vexpro,Face to Face,Safety and tolerability,Abandoned,20,0,Allowed
CRM0000052,2024-09-08,REP004,9000000237,ACC003,T04,Nexoral,Sample Drop,Clinical data - REMS requirements,Follow-up,30,2,Allowed
CRM0000053,2024-08-22,REP004,9000000237,ACC003,T04,Roventra,Sample Drop,Dose and administration,No Reach,15,0,Allowed
CRM0000054,2024-03-06,REP004,9000000237,ACC003,T04,Vexpro,Sample Drop,Adherence program enrollment,Positive,5,0,Allowed
CRM0000055,2024-04-08,REP004,9000000423,ACC003,T04,Roventra,Phone,Prior authorization support,Abandoned,20,0,Allowed
CRM0000056,2024-09-01,REP004,9000000423,ACC003,T04,Nexoral,Sample Drop,Safety and tolerability,Neutral,20,0,Allowed
CRM0000057,2024-12-24,REP004,9000000423,ACC003,T04,Nexoral,Remote,Dose and administration,No Reach,45,0,Allowed
CRM0000058,2024-06-15,REP004,9000000423,ACC003,T04,Nexoral,Phone,Adherence program enrollment,Positive,30,0,Opt-out
CRM0000059,2024-05-13,REP004,9000000423,ACC003,T04,Vexpro,Face to Face,Competitive differentiation,No Reach,30,0,Allowed
CRM0000060,2024-01-17,REP004,9000000423,ACC003,T04,Roventra,Remote,Coverage and reimbursement,No Reach,30,0,Opt-out
CRM0000061,2024-10-18,REP004,9000000423,ACC003,T04,Roventra,Phone,Competitive differentiation,Positive,10,0,Opt-out
CRM0000062,2024-12-29,REP004,9000000607,ACC003,T04,Roventra,Face to Face,Referral workflow and SP onboarding,Abandoned,10,0,Allowed
CRM0000063,2024-06-22,REP004,9000000607,ACC003,T04,Roventra,Remote,Clinical data - efficacy,Neutral,15,0,Allowed
CRM0000064,2024-05-08,REP005,9000000005,ACC004,T05,Vexpro,Sample Drop,Patient identification,Follow-up,10,0,Opt-out
CRM0000065,2024-04-13,REP005,9000000005,ACC004,T05,Nexoral,Phone,Clinical data - REMS requirements,Neutral,45,0,Opt-out
CRM0000066,2024-04-28,REP005,9000000005,ACC004,T05,Roventra,Remote,Referral workflow and SP onboarding,Neutral,10,0,Opt-out
CRM0000067,2024-11-19,REP005,9000000298,ACC004,T05,Roventra,Remote,Adherence program enrollment,Positive,10,0,Opt-out
CRM0000068,2024-08-31,REP005,9000000298,ACC004,T05,Vexpro,Phone,Clinical data - efficacy,Neutral,45,0,Allowed
CRM0000069,2024-04-22,REP005,9000000298,ACC004,T05,Nexoral,Phone,Prior authorization support,No Reach,5,0,Allowed
CRM0000070,2024-11-12,REP005,9000000298,ACC004,T05,Roventra,Remote,Patient identification,Follow-up,45,0,Allowed
CRM0000071,2024-06-18,REP006,9000000051,ACC005,T06,Nexoral,Face to Face,Patient identification,Neutral,5,0,Allowed
CRM0000072,2024-02-20,REP006,9000000051,ACC005,T06,Nexoral,Remote,Referral workflow and SP onboarding,No Reach,20,0,Allowed
CRM0000073,2024-04-26,REP006,9000000498,ACC005,T06,Roventra,Phone,Clinical data - efficacy,Follow-up,10,0,Allowed
CRM0000074,2024-04-07,REP006,9000000498,ACC005,T06,Nexoral,Phone,Clinical data - REMS requirements,Follow-up,30,0,Allowed
CRM0000075,2025-01-09,REP006,9000000498,ACC005,T06,Roventra,Sample Drop,Referral workflow and SP onboarding,Positive,5,1,Allowed
CRM0000076,2024-06-22,REP006,9000000498,ACC005,T06,Vexpro,Phone,Adherence program enrollment,Follow-up,20,0,Allowed
CRM0000077,2024-11-14,REP006,9000000498,ACC005,T06,Vexpro,Remote,Adherence program enrollment,No Reach,30,0,Allowed
CRM0000078,2024-11-10,REP006,9000000640,ACC005,T06,Vexpro,Remote,Safety and tolerability,Follow-up,15,0,Opt-out
CRM0000079,2024-07-05,REP006,9000000640,ACC005,T06,Vexpro,Face to Face,Clinical data - efficacy,Abandoned,30,0,Allowed
CRM0000080,2024-11-14,REP006,9000000640,ACC005,T06,Nexoral,Face to Face,Referral workflow and SP onboarding,Follow-up,10,0,Allowed
CRM0000081,2024-07-08,REP006,9000000640,ACC005,T06,Roventra,Sample Drop,Prior authorization support,Positive,10,1,Allowed
CRM0000082,2024-11-29,REP006,9000000640,ACC005,T06,Nexoral,Remote,Clinical data - REMS requirements,Positive,5,0,Allowed
CRM0000083,2024-07-30,REP006,9000000640,ACC005,T06,Roventra,Phone,Safety and tolerability,No Reach,20,0,Allowed
CRM0000084,2024-08-05,REP007,9000000130,ACC006,T07,Roventra,Face to Face,Dose and administration,Positive,45,0,Opt-out
CRM0000085,2024-11-16,REP007,9000000130,ACC006,T07,Nexoral,Phone,Clinical data - efficacy,Abandoned,15,0,Allowed
CRM0000086,2024-10-08,REP007,9000000130,ACC006,T07,Vexpro,Remote,Clinical data - efficacy,Neutral,45,0,Opt-out
CRM0000087,2024-01-09,REP007,9000000130,ACC006,T07,Nexoral,Remote,Competitive differentiation,Abandoned,10,0,Allowed
CRM0000088,2024-05-19,REP007,9000000130,ACC006,T07,Nexoral,Phone,Prior authorization support,Neutral,20,0,Allowed
CRM0000089,2024-02-29,REP007,9000000130,ACC006,T07,Roventra,Phone,Clinical data - REMS requirements,Abandoned,30,0,Opt-out
CRM0000090,2024-10-11,REP007,9000000130,ACC006,T07,Roventra,Face to Face,Dose and administration,Abandoned,10,0,Opt-out
CRM0000091,2024-05-10,REP007,9000000189,ACC006,T07,Nexoral,Sample Drop,Clinical data - efficacy,Neutral,5,0,Allowed
CRM0000092,2024-09-12,REP007,9000000189,ACC006,T07,Vexpro,Remote,Prior authorization support,Follow-up,20,0,Allowed
CRM0000093,2025-01-02,REP007,9000000189,ACC006,T07,Roventra,Face to Face,Clinical data - REMS requirements,No Reach,10,0,Allowed
CRM0000094,2024-02-09,REP007,9000000189,ACC006,T07,Roventra,Remote,Clinical data - efficacy,Positive,30,0,Allowed
CRM0000095,2024-03-08,REP007,9000000189,ACC006,T07,Vexpro,Remote,Clinical data - REMS requirements,Neutral,5,0,Opt-out
CRM0000096,2024-04-26,REP007,9000000189,ACC006,T07,Roventra,Face to Face,Clinical data - efficacy,Follow-up,20,0,Allowed
CRM0000097,2024-11-28,REP007,9000000271,ACC006,T07,Vexpro,Phone,Prior authorization support,Positive,20,0,Opt-out
CRM0000098,2024-09-18,REP007,9000000271,ACC006,T07,Nexoral,Face to Face,Adherence program enrollment,Abandoned,30,0,Allowed
CRM0000099,2024-12-19,REP007,9000000271,ACC006,T07,Roventra,Face to Face,Competitive differentiation,Follow-up,30,0,Allowed
CRM0000100,2024-01-09,REP007,9000000271,ACC006,T07,Vexpro,Remote,Clinical data - REMS requirements,Positive,5,0,Opt-out
CRM0000101,2024-09-17,REP007,9000000271,ACC006,T07,Vexpro,Phone,Dose and administration,Abandoned,30,0,Allowed
CRM0000102,2024-06-07,REP007,9000000271,ACC006,T07,Vexpro,Remote,Safety and tolerability,Neutral,5,0,Allowed
CRM0000103,2024-06-25,REP001,9000000225,ACC008,T01,Vexpro,Remote,Coverage and reimbursement,Positive,15,0,Allowed
CRM0000104,2024-03-24,REP001,9000000225,ACC008,T01,Roventra,Sample Drop,Clinical data - REMS requirements,Abandoned,15,0,Allowed
CRM0000105,2024-12-07,REP001,9000000255,ACC008,T01,Roventra,Remote,Coverage and reimbursement,Abandoned,15,0,Allowed
CRM0000106,2024-05-15,REP001,9000000255,ACC008,T01,Roventra,Face to Face,Clinical data - efficacy,Follow-up,20,0,Allowed
CRM0000107,2024-11-22,REP001,9000000255,ACC008,T01,Roventra,Phone,Patient identification,No Reach,45,0,Opt-out
CRM0000108,2024-07-15,REP001,9000000255,ACC008,T01,Vexpro,Phone,Patient identification,No Reach,45,0,Allowed
CRM0000109,2024-02-21,REP001,9000000255,ACC008,T01,Nexoral,Phone,Clinical data - efficacy,Neutral,30,0,Allowed
CRM0000110,2025-01-17,REP001,9000000255,ACC008,T01,Roventra,Phone,Clinical data - efficacy,Positive,45,0,Allowed
CRM0000111,2024-02-28,REP001,9000000255,ACC008,T01,Roventra,Phone,Prior authorization support,Positive,20,0,Allowed
CRM0000112,2024-01-05,REP001,9000000359,ACC008,T01,Nexoral,Sample Drop,Clinical data - efficacy,No Reach,45,2,Allowed
CRM0000113,2024-03-21,REP001,9000000359,ACC008,T01,Nexoral,Face to Face,Coverage and reimbursement,Abandoned,10,0,Opt-out
CRM0000114,2024-07-13,REP001,9000000397,ACC008,T01,Nexoral,Sample Drop,Referral workflow and SP onboarding,Neutral,15,0,Allowed
CRM0000115,2024-04-27,REP001,9000000397,ACC008,T01,Roventra,Sample Drop,Coverage and reimbursement,Abandoned,30,2,Allowed
CRM0000116,2024-08-22,REP001,9000000397,ACC008,T01,Vexpro,Sample Drop,Prior authorization support,Neutral,30,0,Opt-out
CRM0000117,2024-02-27,REP001,9000000397,ACC008,T01,Nexoral,Sample Drop,Safety and tolerability,Neutral,5,1,Opt-out
CRM0000118,2024-09-16,REP001,9000000397,ACC008,T01,Vexpro,Sample Drop,Competitive differentiation,No Reach,30,0,Opt-out
CRM0000119,2024-04-09,REP001,9000000397,ACC008,T01,Vexpro,Phone,Dose and administration,Positive,5,0,Allowed
CRM0000120,2024-12-30,REP001,9000000397,ACC008,T01,Vexpro,Remote,Clinical data - efficacy,Follow-up,10,0,Allowed
CRM0000121,2024-10-23,REP001,9000000397,ACC008,T01,Vexpro,Phone,Clinical data - efficacy,Positive,30,0,Allowed
CRM0000122,2024-03-19,REP002,9000000180,ACC009,T02,Roventra,Remote,Coverage and reimbursement,No Reach,30,0,Allowed
CRM0000123,2024-09-17,REP002,9000000180,ACC009,T02,Nexoral,Sample Drop,Clinical data - REMS requirements,No Reach,5,0,Opt-out
CRM0000124,2024-03-18,REP002,9000000180,ACC009,T02,Roventra,Phone,Competitive differentiation,Follow-up,10,0,Allowed
CRM0000125,2024-06-14,REP002,9000000180,ACC009,T02,Roventra,Phone,Referral workflow and SP onboarding,Neutral,5,0,Allowed
CRM0000126,2024-09-25,REP002,9000000180,ACC009,T02,Vexpro,Face to Face,Competitive differentiation,Positive,5,0,Opt-out
CRM0000127,2024-07-01,REP002,9000000180,ACC009,T02,Roventra,Face to Face,Competitive differentiation,No Reach,30,0,Allowed
CRM0000128,2024-09-08,REP002,9000000180,ACC009,T02,Roventra,Remote,Coverage and reimbursement,Abandoned,15,0,Allowed
CRM0000129,2024-11-22,REP002,9000000239,ACC009,T02,Roventra,Sample Drop,Adherence program enrollment,Follow-up,15,1,Allowed
CRM0000130,2025-01-31,REP002,9000000239,ACC009,T02,Vexpro,Sample Drop,Referral workflow and SP onboarding,Neutral,5,0,Allowed
CRM0000131,2024-09-08,REP002,9000000239,ACC009,T02,Nexoral,Sample Drop,Coverage and reimbursement,Abandoned,20,0,Opt-out
CRM0000132,2024-05-29,REP002,9000000239,ACC009,T02,Roventra,Sample Drop,Adherence program enrollment,Follow-up,20,0,Allowed
CRM0000133,2024-06-11,REP002,9000000239,ACC009,T02,Nexoral,Phone,Coverage and reimbursement,Follow-up,15,0,Opt-out
CRM0000134,2024-01-09,REP002,9000000239,ACC009,T02,Roventra,Face to Face,Coverage and reimbursement,Neutral,30,0,Allowed
CRM0000135,2024-04-01,REP002,9000000239,ACC009,T02,Roventra,Remote,Safety and tolerability,No Reach,30,0,Allowed
CRM0000136,2024-06-03,REP002,9000000474,ACC009,T02,Roventra,Phone,Safety and tolerability,Follow-up,15,0,Opt-out
CRM0000137,2024-11-09,REP002,9000000474,ACC009,T02,Roventra,Sample Drop,Prior authorization support,Neutral,30,1,Opt-out
CRM0000138,2024-03-23,REP002,9000000474,ACC009,T02,Vexpro,Remote,Competitive differentiation,Follow-up,10,0,Allowed
CRM0000139,2024-05-16,REP005,9000000398,ACC012,T05,Nexoral,Phone,Dose and administration,Abandoned,5,0,Allowed
CRM0000140,2024-12-25,REP005,9000000398,ACC012,T05,Roventra,Phone,Dose and administration,Follow-up,20,0,Allowed
CRM0000141,2024-08-09,REP005,9000000398,ACC012,T05,Nexoral,Sample Drop,Adherence program enrollment,Abandoned,45,1,Allowed
CRM0000142,2024-07-03,REP005,9000000398,ACC012,T05,Roventra,Face to Face,Safety and tolerability,Positive,15,0,Opt-out
CRM0000143,2024-05-25,REP005,9000000398,ACC012,T05,Nexoral,Sample Drop,Coverage and reimbursement,Abandoned,45,0,Allowed
CRM0000144,2024-05-11,REP005,9000000398,ACC012,T05,Vexpro,Phone,Referral workflow and SP onboarding,Positive,20,0,Allowed
CRM0000145,2024-11-04,REP005,9000000398,ACC012,T05,Nexoral,Remote,Safety and tolerability,Abandoned,5,0,Opt-out
CRM0000146,2024-06-06,REP005,9000000398,ACC012,T05,Vexpro,Remote,Dose and administration,Positive,15,0,Allowed
CRM0000147,2024-01-10,REP005,9000000497,ACC012,T05,Nexoral,Face to Face,Prior authorization support,Neutral,15,0,Allowed
CRM0000148,2024-05-02,REP005,9000000497,ACC012,T05,Vexpro,Face to Face,Competitive differentiation,No Reach,45,0,Allowed
CRM0000149,2024-07-05,REP005,9000000497,ACC012,T05,Roventra,Remote,Safety and tolerability,Positive,30,0,Opt-out
CRM0000150,2024-09-26,REP005,9000000497,ACC012,T05,Vexpro,Remote,Referral workflow and SP onboarding,Abandoned,20,0,Allowed
CRM0000151,2024-10-25,REP005,9000000497,ACC012,T05,Roventra,Phone,Patient identification,Abandoned,45,0,Allowed
CRM0000152,2024-04-28,REP005,9000000497,ACC012,T05,Vexpro,Face to Face,Coverage and reimbursement,Positive,10,0,Allowed
CRM0000153,2025-01-25,REP005,9000000619,ACC012,T05,Roventra,Sample Drop,Dose and administration,Abandoned,20,2,Opt-out
CRM0000154,2024-08-19,REP005,9000000619,ACC012,T05,Nexoral,Sample Drop,Competitive differentiation,Follow-up,5,0,Allowed
CRM0000155,2024-03-09,REP006,9000000144,ACC013,T06,Roventra,Remote,Patient identification,Abandoned,10,0,Allowed
CRM0000156,2024-04-10,REP006,9000000144,ACC013,T06,Vexpro,Face to Face,Competitive differentiation,Abandoned,45,0,Allowed
CRM0000157,2024-10-24,REP006,9000000144,ACC013,T06,Vexpro,Face to Face,Referral workflow and SP onboarding,Abandoned,10,0,Allowed
CRM0000158,2024-05-02,REP006,9000000144,ACC013,T06,Roventra,Remote,Dose and administration,Positive,20,0,Allowed
CRM0000159,2024-01-13,REP006,9000000248,ACC013,T06,Vexpro,Remote,Prior authorization support,Follow-up,5,0,Allowed
CRM0000160,2024-04-06,REP006,9000000248,ACC013,T06,Nexoral,Remote,Clinical data - efficacy,Neutral,30,0,Allowed
CRM0000161,2024-02-06,REP006,9000000248,ACC013,T06,Roventra,Remote,Clinical data - efficacy,Follow-up,5,0,Allowed
CRM0000162,2024-03-29,REP006,9000000248,ACC013,T06,Vexpro,Phone,Competitive differentiation,Abandoned,30,0,Allowed
CRM0000163,2024-04-10,REP006,9000000248,ACC013,T06,Nexoral,Face to Face,Safety and tolerability,No Reach,10,0,Allowed
CRM0000164,2024-11-25,REP006,9000000341,ACC013,T06,Roventra,Face to Face,Adherence program enrollment,Positive,45,0,Opt-out
CRM0000165,2024-08-12,REP006,9000000341,ACC013,T06,Roventra,Sample Drop,Clinical data - efficacy,Abandoned,5,0,Allowed
CRM0000166,2024-06-16,REP006,9000000341,ACC013,T06,Vexpro,Remote,Prior authorization support,Neutral,5,0,Allowed
CRM0000167,2025-01-08,REP006,9000000341,ACC013,T06,Roventra,Phone,Referral workflow and SP onboarding,Positive,20,0,Opt-out
CRM0000168,2024-02-26,REP006,9000000341,ACC013,T06,Roventra,Face to Face,Clinical data - REMS requirements,Follow-up,20,0,Allowed
CRM0000169,2024-08-20,REP006,9000000341,ACC013,T06,Roventra,Face to Face,Coverage and reimbursement,Neutral,45,0,Allowed
CRM0000170,2024-04-05,REP006,9000000341,ACC013,T06,Nexoral,Phone,Dose and administration,No Reach,10,0,Allowed
CRM0000171,2024-04-20,REP001,9000000081,ACC016,T01,Roventra,Face to Face,Competitive differentiation,No Reach,20,0,Allowed
CRM0000172,2024-06-01,REP001,9000000081,ACC016,T01,Nexoral,Sample Drop,Patient identification,Positive,15,0,Opt-out
CRM0000173,2024-05-04,REP001,9000000081,ACC016,T01,Nexoral,Remote,Prior authorization support,Positive,5,0,Opt-out
CRM0000174,2024-10-01,REP001,9000000081,ACC016,T01,Roventra,Face to Face,Prior authorization support,No Reach,10,0,Opt-out
CRM0000175,2024-08-22,REP001,9000000081,ACC016,T01,Roventra,Sample Drop,Competitive differentiation,Follow-up,30,0,Opt-out
CRM0000176,2024-11-30,REP001,9000000125,ACC016,T01,Roventra,Remote,Adherence program enrollment,Positive,5,0,Allowed
CRM0000177,2024-06-08,REP001,9000000125,ACC016,T01,Roventra,Sample Drop,Prior authorization support,Positive,10,0,Allowed
CRM0000178,2024-09-26,REP001,9000000125,ACC016,T01,Roventra,Phone,Clinical data - REMS requirements,Follow-up,15,0,Allowed
CRM0000179,2024-07-29,REP001,9000000125,ACC016,T01,Roventra,Face to Face,Prior authorization support,No Reach,10,0,Opt-out
CRM0000180,2024-11-24,REP001,9000000125,ACC016,T01,Roventra,Face to Face,Dose and administration,No Reach,30,0,Allowed
CRM0000181,2024-09-23,REP001,9000000125,ACC016,T01,Nexoral,Sample Drop,Clinical data - REMS requirements,Follow-up,20,1,Allowed
CRM0000182,2024-12-07,REP001,9000000318,ACC016,T01,Roventra,Face to Face,Adherence program enrollment,Positive,5,0,Allowed
CRM0000183,2024-12-11,REP001,9000000318,ACC016,T01,Roventra,Phone,Competitive differentiation,Positive,5,0,Opt-out
CRM0000184,2024-10-09,REP001,9000000318,ACC016,T01,Roventra,Face to Face,Referral workflow and SP onboarding,Abandoned,5,0,Allowed
CRM0000185,2024-02-06,REP001,9000000548,ACC016,T01,Nexoral,Remote,Dose and administration,Neutral,10,0,Opt-out
CRM0000186,2025-01-12,REP001,9000000548,ACC016,T01,Nexoral,Remote,Competitive differentiation,Neutral,20,0,Opt-out
CRM0000187,2024-12-01,REP001,9000000548,ACC016,T01,Vexpro,Sample Drop,Clinical data - REMS requirements,No Reach,5,1,Allowed
CRM0000188,2024-12-19,REP001,9000000548,ACC016,T01,Vexpro,Sample Drop,Prior authorization support,No Reach,45,1,Allowed
CRM0000189,2024-01-28,REP001,9000000548,ACC016,T01,Roventra,Remote,Dose and administration,Abandoned,15,0,Opt-out
CRM0000190,2024-05-31,REP001,9000000548,ACC016,T01,Roventra,Sample Drop,Referral workflow and SP onboarding,Abandoned,45,0,Allowed
CRM0000191,2025-01-30,REP001,9000000548,ACC016,T01,Roventra,Phone,Referral workflow and SP onboarding,Neutral,10,0,Opt-out
CRM0000192,2024-09-29,REP001,9000000561,ACC016,T01,Vexpro,Face to Face,Prior authorization support,Abandoned,5,0,Allowed
CRM0000193,2024-08-24,REP001,9000000561,ACC016,T01,Roventra,Sample Drop,Clinical data - REMS requirements,Follow-up,10,0,Allowed
CRM0000194,2024-04-15,REP001,9000000561,ACC016,T01,Nexoral,Remote,Patient identification,Positive,45,0,Opt-out
CRM0000195,2024-12-02,REP001,9000000561,ACC016,T01,Vexpro,Face to Face,Clinical data - REMS requirements,Neutral,20,0,Allowed
CRM0000196,2024-09-26,REP001,9000000663,ACC016,T01,Nexoral,Phone,Adherence program enrollment,No Reach,30,0,Opt-out
CRM0000197,2024-09-03,REP001,9000000663,ACC016,T01,Nexoral,Face to Face,Competitive differentiation,Follow-up,15,0,Opt-out
CRM0000198,2024-08-02,REP001,9000000663,ACC016,T01,Nexoral,Remote,Patient identification,Follow-up,20,0,Opt-out
CRM0000199,2024-11-27,REP001,9000000663,ACC016,T01,Roventra,Face to Face,Patient identification,No Reach,20,0,Opt-out
CRM0000200,2024-09-28,REP002,9000000109,ACC017,T02,Vexpro,Phone,Safety and tolerability,Abandoned,45,0,Allowed
CRM0000201,2024-03-21,REP002,9000000109,ACC017,T02,Roventra,Face to Face,Clinical data - efficacy,Follow-up,45,0,Allowed
CRM0000202,2025-01-05,REP002,9000000109,ACC017,T02,Roventra,Sample Drop,Patient identification,Neutral,10,1,Allowed
CRM0000203,2024-10-23,REP002,9000000109,ACC017,T02,Roventra,Remote,Dose and administration,Follow-up,45,0,Allowed
CRM0000204,2024-04-21,REP002,9000000109,ACC017,T02,Roventra,Phone,Adherence program enrollment,Neutral,10,0,Allowed
CRM0000205,2024-08-31,REP002,9000000109,ACC017,T02,Roventra,Phone,Coverage and reimbursement,Positive,15,0,Allowed
CRM0000206,2024-04-18,REP002,9000000109,ACC017,T02,Vexpro,Remote,Competitive differentiation,Positive,20,0,Allowed
CRM0000207,2024-06-04,REP002,9000000109,ACC017,T02,Vexpro,Sample Drop,Patient identification,Abandoned,10,0,Opt-out
CRM0000208,2024-02-12,REP002,9000000178,ACC017,T02,Roventra,Remote,Clinical data - efficacy,Abandoned,45,0,Allowed
CRM0000209,2024-11-20,REP002,9000000178,ACC017,T02,Roventra,Remote,Referral workflow and SP onboarding,No Reach,15,0,Allowed
